ranking_date,ranking,ranking_points,tours,player_id,first_name,last_name,hand,birthdate,country
1998-04-20,31,792,15,200033,Serena,Williams,R,1981-09-26,USA
1998-04-27,30,792,15,200033,Serena,Williams,R,1981-09-26,USA
1998-05-04,31,792,15,200033,Serena,Williams,R,1981-09-26,USA
1998-05-11,27,958,15,200033,Serena,Williams,R,1981-09-26,USA
1998-05-18,27,958,15,200033,Serena,Williams,R,1981-09-26,USA
1998-05-25,27,958,15,200033,Serena,Williams,R,1981-09-26,USA
1998-06-01,27,958,15,200033,Serena,Williams,R,1981-09-26,USA
1998-06-08,22,1128,15,200033,Serena,Williams,R,1981-09-26,USA
1998-06-15,22,1128,15,200033,Serena,Williams,R,1981-09-26,USA
1998-06-22,20,1216,15,200033,Serena,Williams,R,1981-09-26,USA
1998-06-29,20,1216,15,200033,Serena,Williams,R,1981-09-26,USA
1998-07-06,21,1288,15,200033,Serena,Williams,R,1981-09-26,USA
1998-07-13,21,1288,15,200033,Serena,Williams,R,1981-09-26,USA
1998-07-20,21,1288,15,200033,Serena,Williams,R,1981-09-26,USA
1998-07-27,21,1288,15,200033,Serena,Williams,R,1981-09-26,USA
1998-08-03,21,1288,15,200033,Serena,Williams,R,1981-09-26,USA
1998-08-10,21,1273,15,200033,Serena,Williams,R,1981-09-26,USA
1998-08-17,20,1362,15,200033,Serena,Williams,R,1981-09-26,USA
1998-08-24,19,1362,15,200033,Serena,Williams,R,1981-09-26,USA
1998-08-31,20,1362,15,200033,Serena,Williams,R,1981-09-26,USA
1998-09-07,20,1362,15,200033,Serena,Williams,R,1981-09-26,USA
1998-09-14,19,1418,15,200033,Serena,Williams,R,1981-09-26,USA
1998-09-21,19,1418,15,200033,Serena,Williams,R,1981-09-26,USA
1998-09-28,19,1418,15,200033,Serena,Williams,R,1981-09-26,USA
1998-10-05,19,1418,15,200033,Serena,Williams,R,1981-09-26,USA
1998-10-12,17,1542,15,200033,Serena,Williams,R,1981-09-26,USA
1998-10-19,17,1535,15,200033,Serena,Williams,R,1981-09-26,USA
1998-10-26,17,1535,15,200033,Serena,Williams,R,1981-09-26,USA
1998-11-02,17,1504,15,200033,Serena,Williams,R,1981-09-26,USA
1998-11-09,21,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-11-16,21,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-11-23,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-11-30,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-12-07,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-12-14,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-12-21,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1998-12-28,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1999-01-01,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1999-01-04,20,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1999-01-11,22,1301,15,200033,Serena,Williams,R,1981-09-26,USA
1999-01-18,26,1099,15,200033,Serena,Williams,R,1981-09-26,USA
1999-01-25,26,1099,15,200033,Serena,Williams,R,1981-09-26,USA
1999-02-01,24,1085,15,200033,Serena,Williams,R,1981-09-26,USA
1999-02-08,24,1085,15,200033,Serena,Williams,R,1981-09-26,USA
1999-02-15,24,1085,15,200033,Serena,Williams,R,1981-09-26,USA
1999-02-22,24,1085,15,200033,Serena,Williams,R,1981-09-26,USA
1999-03-01,21,1348,15,200033,Serena,Williams,R,1981-09-26,USA
1999-03-08,21,1348,15,200033,Serena,Williams,R,1981-09-26,USA
1999-03-15,16,1816,15,200033,Serena,Williams,R,1981-09-26,USA
1999-03-22,16,1816,15,200033,Serena,Williams,R,1981-09-26,USA
1999-03-29,11,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-04-05,9,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-04-12,9,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-04-19,9,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-04-26,10,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-05-03,10,2080,15,200033,Serena,Williams,R,1981-09-26,USA
1999-05-10,11,2010,15,200033,Serena,Williams,R,1981-09-26,USA
1999-05-17,10,2089,15,200033,Serena,Williams,R,1981-09-26,USA
1999-05-24,10,2089,15,200033,Serena,Williams,R,1981-09-26,USA
1999-05-31,10,2089,15,200033,Serena,Williams,R,1981-09-26,USA
1999-06-07,10,1979,15,200033,Serena,Williams,R,1981-09-26,USA
1999-06-14,10,1979,15,200033,Serena,Williams,R,1981-09-26,USA
1999-06-21,11,1891,15,200033,Serena,Williams,R,1981-09-26,USA
1999-06-28,11,1891,15,200033,Serena,Williams,R,1981-09-26,USA
1999-07-05,12,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-07-12,12,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-07-19,11,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-07-26,11,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-08-02,11,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-08-09,11,1819,15,200033,Serena,Williams,R,1981-09-26,USA
1999-08-16,8,2154,15,200033,Serena,Williams,R,1981-09-26,USA
1999-08-23,8,2154,15,200033,Serena,Williams,R,1981-09-26,USA
1999-08-30,6,2154,15,200033,Serena,Williams,R,1981-09-26,USA
1999-09-06,6,2154,15,200033,Serena,Williams,R,1981-09-26,USA
1999-09-13,4,3144,15,200033,Serena,Williams,R,1981-09-26,USA
1999-09-20,4,3144,15,200033,Serena,Williams,R,1981-09-26,USA
1999-09-27,4,3144,15,200033,Serena,Williams,R,1981-09-26,USA
1999-10-04,4,3144,15,200033,Serena,Williams,R,1981-09-26,USA
1999-10-11,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-10-18,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-10-25,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-11-01,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-11-08,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-11-15,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-11-22,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-11-29,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-12-06,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-12-13,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-12-20,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
1999-12-27,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-01,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-03,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-10,4,3021,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-17,4,2993,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-24,4,2993,15,200033,Serena,Williams,R,1981-09-26,USA
2000-01-31,4,3015,15,200033,Serena,Williams,R,1981-09-26,USA
2000-02-07,4,3015,15,200033,Serena,Williams,R,1981-09-26,USA
2000-02-14,4,3231,15,200033,Serena,Williams,R,1981-09-26,USA
2000-02-21,4,3512,15,200033,Serena,Williams,R,1981-09-26,USA
2000-02-28,4,3209,15,200033,Serena,Williams,R,1981-09-26,USA
2000-03-06,4,2741,15,200033,Serena,Williams,R,1981-09-26,USA
2000-03-13,4,2741,15,200033,Serena,Williams,R,1981-09-26,USA
2000-03-20,6,2421,15,200033,Serena,Williams,R,1981-09-26,USA
2000-03-27,6,2421,15,200033,Serena,Williams,R,1981-09-26,USA
2000-04-03,6,2488,15,200033,Serena,Williams,R,1981-09-26,USA
2000-04-10,6,2488,15,200033,Serena,Williams,R,1981-09-26,USA
2000-04-17,6,2489,15,200033,Serena,Williams,R,1981-09-26,USA
2000-04-24,6,2489,15,200033,Serena,Williams,R,1981-09-26,USA
2000-05-01,6,2489,15,200033,Serena,Williams,R,1981-09-26,USA
2000-05-08,6,2393,15,200033,Serena,Williams,R,1981-09-26,USA
2000-05-15,8,2314,15,200033,Serena,Williams,R,1981-09-26,USA
2000-05-22,8,2314,15,200033,Serena,Williams,R,1981-09-26,USA
2000-05-29,8,2314,15,200033,Serena,Williams,R,1981-09-26,USA
2000-06-05,8,2314,15,200033,Serena,Williams,R,1981-09-26,USA
2000-06-12,8,2254,15,200033,Serena,Williams,R,1981-09-26,USA
2000-06-19,8,2254,15,200033,Serena,Williams,R,1981-09-26,USA
2000-06-26,8,2254,15,200033,Serena,Williams,R,1981-09-26,USA
2000-07-03,8,2254,15,200033,Serena,Williams,R,1981-09-26,USA
2000-07-10,7,2594,15,200033,Serena,Williams,R,1981-09-26,USA
2000-07-17,7,2594,15,200033,Serena,Williams,R,1981-09-26,USA
2000-07-24,7,2594,15,200033,Serena,Williams,R,1981-09-26,USA
2000-07-31,7,2594,15,200033,Serena,Williams,R,1981-09-26,USA
2000-08-07,7,2594,15,200033,Serena,Williams,R,1981-09-26,USA
2000-08-14,7,2613,15,200033,Serena,Williams,R,1981-09-26,USA
2000-08-21,5,2911,15,200033,Serena,Williams,R,1981-09-26,USA
2000-08-28,6,2911,15,200033,Serena,Williams,R,1981-09-26,USA
2000-09-04,6,2911,15,200033,Serena,Williams,R,1981-09-26,USA
2000-09-11,8,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2000-09-18,8,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2000-09-25,8,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2000-10-02,8,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2000-10-09,8,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-10-16,8,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-10-23,7,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-10-30,7,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-11-06,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-11-13,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-11-20,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-11-27,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-12-04,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-12-11,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-12-18,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2000-12-25,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2001-01-01,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2001-01-08,6,2306,15,200033,Serena,Williams,R,1981-09-26,USA
2001-01-15,6,2374,15,200033,Serena,Williams,R,1981-09-26,USA
2001-01-22,6,2374,15,200033,Serena,Williams,R,1981-09-26,USA
2001-01-29,5,2454,15,200033,Serena,Williams,R,1981-09-26,USA
2001-02-05,5,2454,15,200033,Serena,Williams,R,1981-09-26,USA
2001-02-12,7,2238,15,200033,Serena,Williams,R,1981-09-26,USA
2001-02-19,9,1957,15,200033,Serena,Williams,R,1981-09-26,USA
2001-02-26,9,1957,15,200033,Serena,Williams,R,1981-09-26,USA
2001-03-05,10,1957,15,200033,Serena,Williams,R,1981-09-26,USA
2001-03-12,10,1957,15,200033,Serena,Williams,R,1981-09-26,USA
2001-03-19,7,2275,15,200033,Serena,Williams,R,1981-09-26,USA
2001-03-26,7,2275,15,200033,Serena,Williams,R,1981-09-26,USA
2001-04-02,6,2320,15,200033,Serena,Williams,R,1981-09-26,USA
2001-04-09,6,2320,15,200033,Serena,Williams,R,1981-09-26,USA
2001-04-16,6,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-04-23,6,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-04-30,6,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-05-07,6,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-05-14,7,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-05-21,7,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-05-28,7,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-06-04,7,2319,15,200033,Serena,Williams,R,1981-09-26,USA
2001-06-11,5,2481,15,200033,Serena,Williams,R,1981-09-26,USA
2001-06-18,5,2481,15,200033,Serena,Williams,R,1981-09-26,USA
2001-06-25,5,2481,15,200033,Serena,Williams,R,1981-09-26,USA
2001-07-02,5,2481,15,200033,Serena,Williams,R,1981-09-26,USA
2001-07-09,8,2381,15,200033,Serena,Williams,R,1981-09-26,USA
2001-07-16,8,2381,15,200033,Serena,Williams,R,1981-09-26,USA
2001-07-23,8,2381,15,200033,Serena,Williams,R,1981-09-26,USA
2001-07-30,8,2381,15,200033,Serena,Williams,R,1981-09-26,USA
2001-08-06,8,2381,15,200033,Serena,Williams,R,1981-09-26,USA
2001-08-13,10,2000,15,200033,Serena,Williams,R,1981-09-26,USA
2001-08-20,10,2125,15,200033,Serena,Williams,R,1981-09-26,USA
2001-08-27,10,2125,15,200033,Serena,Williams,R,1981-09-26,USA
2001-09-03,10,2125,15,200033,Serena,Williams,R,1981-09-26,USA
2001-09-10,7,2753,15,200033,Serena,Williams,R,1981-09-26,USA
2001-09-17,7,2753,15,200033,Serena,Williams,R,1981-09-26,USA
2001-09-24,7,2753,15,200033,Serena,Williams,R,1981-09-26,USA
2001-10-01,7,2753,15,200033,Serena,Williams,R,1981-09-26,USA
2001-10-08,9,2501,15,200033,Serena,Williams,R,1981-09-26,USA
2001-10-15,9,2501,15,200033,Serena,Williams,R,1981-09-26,USA
2001-10-22,10,2501,15,200033,Serena,Williams,R,1981-09-26,USA
2001-10-29,10,2501,15,200033,Serena,Williams,R,1981-09-26,USA
2001-11-05,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-11-12,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-11-19,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-11-26,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-12-03,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-12-10,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-12-17,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-12-24,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2001-12-31,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2002-01-01,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2002-01-07,6,3004,15,200033,Serena,Williams,R,1981-09-26,USA
2002-01-14,6,3075,15,200033,Serena,Williams,R,1981-09-26,USA
2002-01-21,6,3075,15,200033,Serena,Williams,R,1981-09-26,USA
2002-01-28,6,2875,15,200033,Serena,Williams,R,1981-09-26,USA
2002-02-04,6,2875,15,200033,Serena,Williams,R,1981-09-26,USA
2002-02-11,8,2875,15,200033,Serena,Williams,R,1981-09-26,USA
2002-02-18,9,2875,15,200033,Serena,Williams,R,1981-09-26,USA
2002-02-25,9,2875,15,200033,Serena,Williams,R,1981-09-26,USA
2002-03-04,6,3209,15,200033,Serena,Williams,R,1981-09-26,USA
2002-03-11,6,3209,15,200033,Serena,Williams,R,1981-09-26,USA
2002-03-18,9,2793,15,200033,Serena,Williams,R,1981-09-26,USA
2002-03-25,9,2793,15,200033,Serena,Williams,R,1981-09-26,USA
2002-04-01,7,3271,15,200033,Serena,Williams,R,1981-09-26,USA
2002-04-08,7,3271,15,200033,Serena,Williams,R,1981-09-26,USA
2002-04-15,7,3271,15,200033,Serena,Williams,R,1981-09-26,USA
2002-04-22,5,3363,15,200033,Serena,Williams,R,1981-09-26,USA
2002-04-29,5,3363,15,200033,Serena,Williams,R,1981-09-26,USA
2002-05-06,5,3363,15,200033,Serena,Williams,R,1981-09-26,USA
2002-05-13,4,3609,15,200033,Serena,Williams,R,1981-09-26,USA
2002-05-20,3,4036,15,200033,Serena,Williams,R,1981-09-26,USA
2002-05-27,3,4036,15,200033,Serena,Williams,R,1981-09-26,USA
2002-06-03,3,4036,15,200033,Serena,Williams,R,1981-09-26,USA
2002-06-10,2,4926,15,200033,Serena,Williams,R,1981-09-26,USA
2002-06-17,2,4926,15,200033,Serena,Williams,R,1981-09-26,USA
2002-06-24,2,4926,15,200033,Serena,Williams,R,1981-09-26,USA
2002-07-01,2,4926,15,200033,Serena,Williams,R,1981-09-26,USA
2002-07-08,1,5742,15,200033,Serena,Williams,R,1981-09-26,USA
2002-07-15,1,5742,15,200033,Serena,Williams,R,1981-09-26,USA
2002-07-22,1,5742,15,200033,Serena,Williams,R,1981-09-26,USA
2002-07-29,1,5742,15,200033,Serena,Williams,R,1981-09-26,USA
2002-08-05,1,5742,15,200033,Serena,Williams,R,1981-09-26,USA
2002-08-12,1,5745,15,200033,Serena,Williams,R,1981-09-26,USA
2002-08-19,1,5322,15,200033,Serena,Williams,R,1981-09-26,USA
2002-08-26,1,5322,15,200033,Serena,Williams,R,1981-09-26,USA
2002-09-02,1,5322,15,200033,Serena,Williams,R,1981-09-26,USA
2002-09-09,1,5544,15,200033,Serena,Williams,R,1981-09-26,USA
2002-09-16,1,5544,15,200033,Serena,Williams,R,1981-09-26,USA
2002-09-23,1,5808,15,200033,Serena,Williams,R,1981-09-26,USA
2002-09-30,1,6099,15,200033,Serena,Williams,R,1981-09-26,USA
2002-10-07,1,6099,15,200033,Serena,Williams,R,1981-09-26,USA
2002-10-14,1,6099,15,200033,Serena,Williams,R,1981-09-26,USA
2002-10-21,1,6099,15,200033,Serena,Williams,R,1981-09-26,USA
2002-10-28,1,6099,15,200033,Serena,Williams,R,1981-09-26,USA
2002-11-04,1,5596,15,200033,Serena,Williams,R,1981-09-26,USA
2002-11-11,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-11-18,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-11-25,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-12-02,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-12-09,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-12-16,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-12-23,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2002-12-30,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2003-01-01,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2003-01-06,1,6080,15,200033,Serena,Williams,R,1981-09-26,USA
2003-01-13,1,5941,15,200033,Serena,Williams,R,1981-09-26,USA
2003-01-20,1,5941,15,200033,Serena,Williams,R,1981-09-26,USA
2003-01-27,1,6989,15,200033,Serena,Williams,R,1981-09-26,USA
2003-02-03,1,6989,15,200033,Serena,Williams,R,1981-09-26,USA
2003-02-10,1,7273,15,200033,Serena,Williams,R,1981-09-26,USA
2003-02-17,1,7273,15,200033,Serena,Williams,R,1981-09-26,USA
2003-02-24,1,7273,15,200033,Serena,Williams,R,1981-09-26,USA
2003-03-03,1,6939,15,200033,Serena,Williams,R,1981-09-26,USA
2003-03-10,1,6939,15,200033,Serena,Williams,R,1981-09-26,USA
2003-03-17,1,6939,15,200033,Serena,Williams,R,1981-09-26,USA
2003-03-24,1,6939,15,200033,Serena,Williams,R,1981-09-26,USA
2003-03-31,1,6842,15,200033,Serena,Williams,R,1981-09-26,USA
2003-04-07,1,6842,15,200033,Serena,Williams,R,1981-09-26,USA
2003-04-14,1,7147,15,200033,Serena,Williams,R,1981-09-26,USA
2003-04-21,1,7055,15,200033,Serena,Williams,R,1981-09-26,USA
2003-04-28,1,7055,15,200033,Serena,Williams,R,1981-09-26,USA
2003-05-05,1,7055,15,200033,Serena,Williams,R,1981-09-26,USA
2003-05-12,1,6809,15,200033,Serena,Williams,R,1981-09-26,USA
2003-05-19,1,6552,15,200033,Serena,Williams,R,1981-09-26,USA
2003-05-26,1,6552,15,200033,Serena,Williams,R,1981-09-26,USA
2003-06-02,1,6552,15,200033,Serena,Williams,R,1981-09-26,USA
2003-06-09,1,6006,15,200033,Serena,Williams,R,1981-09-26,USA
2003-06-16,1,6006,15,200033,Serena,Williams,R,1981-09-26,USA
2003-06-23,1,6006,15,200033,Serena,Williams,R,1981-09-26,USA
2003-06-30,1,6006,15,200033,Serena,Williams,R,1981-09-26,USA
2003-07-07,1,6060,15,200033,Serena,Williams,R,1981-09-26,USA
2003-07-14,1,6060,15,200033,Serena,Williams,R,1981-09-26,USA
2003-07-21,1,6060,15,200033,Serena,Williams,R,1981-09-26,USA
2003-07-28,1,6060,15,200033,Serena,Williams,R,1981-09-26,USA
2003-08-04,1,6060,15,200033,Serena,Williams,R,1981-09-26,USA
2003-08-11,2,5995,15,200033,Serena,Williams,R,1981-09-26,USA
2003-08-18,2,5995,15,200033,Serena,Williams,R,1981-09-26,USA
2003-08-25,2,5995,15,200033,Serena,Williams,R,1981-09-26,USA
2003-09-01,2,5995,15,200033,Serena,Williams,R,1981-09-26,USA
2003-09-08,3,4955,15,200033,Serena,Williams,R,1981-09-26,USA
2003-09-15,3,4955,15,200033,Serena,Williams,R,1981-09-26,USA
2003-09-22,3,4691,15,200033,Serena,Williams,R,1981-09-26,USA
2003-09-29,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-10-06,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-10-13,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-10-20,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-10-27,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-11-03,3,4400,15,200033,Serena,Williams,R,1981-09-26,USA
2003-11-10,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-11-17,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-11-24,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-12-01,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-12-08,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-12-15,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-12-22,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2003-12-29,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-01-01,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-01-05,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-01-12,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-01-19,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-01-26,3,3916,15,200033,Serena,Williams,R,1981-09-26,USA
2004-02-02,4,2868,15,200033,Serena,Williams,R,1981-09-26,USA
2004-02-09,7,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-02-16,6,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-02-23,6,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-03-01,6,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-03-08,7,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-03-15,7,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-03-22,6,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-03-29,6,2584,15,200033,Serena,Williams,R,1981-09-26,USA
2004-04-05,7,2519,15,200033,Serena,Williams,R,1981-09-26,USA
2004-04-12,9,2293,15,200033,Serena,Williams,R,1981-09-26,USA
2004-04-19,7,2337,15,200033,Serena,Williams,R,1981-09-26,USA
2004-04-26,7,2337,15,200033,Serena,Williams,R,1981-09-26,USA
2004-04-26,7,2337,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-03,7,2337,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-03,7,2337,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-17,7,2351,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-17,7,2351,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-24,7,2351,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-24,7,2351,15,200033,Serena,Williams,R,1981-09-26,USA
2004-05-31,7,2351,15,200033,Serena,Williams,R,1981-09-26,USA
2004-06-07,11,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2004-06-14,10,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2004-06-21,10,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2004-06-28,10,2055,15,200033,Serena,Williams,R,1981-09-26,USA
2004-07-05,14,1649,15,200033,Serena,Williams,R,1981-09-26,USA
2004-07-12,14,1649,15,200033,Serena,Williams,R,1981-09-26,USA
2004-07-19,16,1649,15,200033,Serena,Williams,R,1981-09-26,USA
2004-07-26,14,1887,15,200033,Serena,Williams,R,1981-09-26,USA
2004-08-02,10,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-08-09,11,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-08-16,11,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-08-23,11,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-08-30,11,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-09-06,11,1995,15,200033,Serena,Williams,R,1981-09-26,USA
2004-09-13,10,2273,15,200033,Serena,Williams,R,1981-09-26,USA
2004-09-20,10,2273,15,200033,Serena,Williams,R,1981-09-26,USA
2004-09-27,10,2596,15,200033,Serena,Williams,R,1981-09-26,USA
2004-10-04,9,2596,15,200033,Serena,Williams,R,1981-09-26,USA
2004-10-11,9,2596,15,200033,Serena,Williams,R,1981-09-26,USA
2004-10-18,9,2596,15,200033,Serena,Williams,R,1981-09-26,USA
2004-10-25,9,2596,15,200033,Serena,Williams,R,1981-09-26,USA
2004-11-01,8,2597,15,200033,Serena,Williams,R,1981-09-26,USA
