tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,011,200033,,Q,Serena Williams,R,175,USA,,96,257,200002,,Q,Mirjana Lucic,R,,CRO,,48,511,3-6 6-4 7-5,3,R32
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,024,200033,,Q,Serena Williams,R,175,USA,,96,257,200128,2,,Lindsay Davenport,R,189,USA,,3,3578,1-6 7-5 7-5,3,QF
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,019,200033,,,Serena Williams,R,175,USA,,96,257,200125,4,,Corina Morariu,R,,USA,,55,459,7-5 6-4,3,Q2
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,026,200033,,,Serena Williams,R,175,USA,,96,257,200584,6,,Laura Golarsa,R,,ITA,,64,401,6-2 6-0,3,Q3
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,006,200033,,,Serena Williams,R,175,USA,,96,257,200678,,,Gloria Pizzichini,R,,ITA,,89,299,6-3 6-1,3,Q1
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,019,200033,,Q,Serena Williams,R,175,USA,,96,257,200016,7,,Sandrine Testud,R,,FRA,,13,1832,7-6 3-0 RET,3,R16
1998-W-SL-AUS-01A-1998,Australian Open,Hard,128,G,1998-01-19T00:00:00.000,089,200748,,,Venus Williams,R,185,USA,,16,1474,200033,,,Serena Williams,R,175,USA,,53,487,7-6(4) 6-1,3,R64
1998-W-SL-AUS-01A-1998,Australian Open,Hard,128,G,1998-01-19T00:00:00.000,049,200033,,,Serena Williams,R,175,USA,,53,487,200051,6,,Irina Spirlea,R,,ROU,,9,2494,6-7(5) 6-3 6-1,3,R128
1998-W-WT-USA-01A-1998,Oklahoma,Hard,30,W,1998-02-23T00:00:00.000,008,200033,5,,Serena Williams,R,175,USA,,42,599,200557,,WC,Katrina Adams,U,,USA,,284,57,6-1 6-2,3,R32
1998-W-WT-USA-01A-1998,Oklahoma,Hard,30,W,1998-02-23T00:00:00.000,025,200682,4,,Joannette Kruger,R,,RSA,,27,1048,200033,5,,Serena Williams,R,175,USA,,42,599,6-1 6-1,3,QF
1998-W-WT-USA-01A-1998,Oklahoma,Hard,30,W,1998-02-23T00:00:00.000,019,200033,5,,Serena Williams,R,175,USA,,42,599,200038,,Q,Annabel Ellwood,R,,AUS,,110,221,6-1 6-3,3,R16
1998-W-WT-USA-03A-1998,Key Biscayne,Hard,96,W,1998-03-19T00:00:00.000,037,200033,,,Serena Williams,R,175,USA,,40,638,200051,10,,Irina Spirlea,R,,ROU,,10,2046,7-6 6-0,3,R64
1998-W-WT-USA-03A-1998,Key Biscayne,Hard,96,W,1998-03-19T00:00:00.000,089,200001,1,,Martina Hingis,R,170,SUI,,1,6115,200033,,,Serena Williams,R,175,USA,,40,638,6-3 1-6 7-6,3,QF
1998-W-WT-USA-03A-1998,Key Biscayne,Hard,96,W,1998-03-19T00:00:00.000,082,200033,,,Serena Williams,R,175,USA,,40,638,200067,17,,Patty Schnyder,L,168,SUI,,17,1459,6-0 4-6 6-3,3,R16
1998-W-WT-USA-03A-1998,Key Biscayne,Hard,96,W,1998-03-19T00:00:00.000,067,200033,,,Serena Williams,R,175,USA,,40,638,200604,24,,Barbara Paulus,U,,AUT,,26,1155,6-3 6-2,3,R32
1998-W-WT-USA-03A-1998,Key Biscayne,Hard,96,W,1998-03-19T00:00:00.000,005,200033,,,Serena Williams,R,175,USA,,40,638,200044,,,Denisa Chladkova,R,,CZE,,59,451,6-4 6-0,3,R128
1998-W-WT-ITA-01A-1998,Rome,Clay,56,W,1998-05-04T00:00:00.000,038,200033,,,Serena Williams,R,175,USA,,31,792,200682,,,Joannette Kruger,R,,RSA,,21,1263,5-1 RET,3,R32
1998-W-WT-ITA-01A-1998,Rome,Clay,56,W,1998-05-04T00:00:00.000,052,200748,9,,Venus Williams,R,185,USA,,9,2333,200033,,,Serena Williams,R,175,USA,,31,792,6-4 6-2,3,QF
1998-W-WT-ITA-01A-1998,Rome,Clay,56,W,1998-05-04T00:00:00.000,021,200033,,,Serena Williams,R,175,USA,,31,792,200097,11,,Nathalie Tauziat,R,,FRA,,12,1986,7-5 6-0,3,R64
1998-W-WT-ITA-01A-1998,Rome,Clay,56,W,1998-05-04T00:00:00.000,047,200033,,,Serena Williams,R,175,USA,,31,792,200049,7,,Conchita Martinez,R,170,ESP,,8,2487,6-2 6-2,3,R16
1998-W-SL-FRA-01A-1998,French Open,Clay,128,G,1998-05-25T00:00:00.000,086,200033,,,Serena Williams,R,175,USA,,27,958,200125,,,Corina Morariu,R,,USA,,43,620,6-1 6-0,3,R64
1998-W-SL-FRA-01A-1998,French Open,Clay,128,G,1998-05-25T00:00:00.000,118,200017,4,,Arantxa Sanchez Vicario,R,,ESP,,5,2716,200033,,,Serena Williams,R,175,USA,,27,958,4-6 7-5 6-3,3,R16
1998-W-SL-FRA-01A-1998,French Open,Clay,128,G,1998-05-25T00:00:00.000,107,200033,,,Serena Williams,R,175,USA,,27,958,200080,15,,Dominique Monami,R,,BEL,,14,1859,6-1 6-1,3,R32
1998-W-SL-FRA-01A-1998,French Open,Clay,128,G,1998-05-25T00:00:00.000,044,200033,,,Serena Williams,R,175,USA,,27,958,200012,,,Jana Nejedly,R,,CAN,,96,278,6-2 1-6 6-4,3,R128
1998-W-WT-GBR-02A-1998,Eastbourne,Grass,28,W,1998-06-15T00:00:00.000,008,200033,,WC,Serena Williams,R,175,USA,,22,1128,200644,,,Naoko Sawamatsu,U,,JPN,,34,779,6-4 7-5,3,R32
1998-W-WT-GBR-02A-1998,Eastbourne,Grass,28,W,1998-06-15T00:00:00.000,023,200017,3,,Arantxa Sanchez Vicario,R,,ESP,,4,3399,200033,,WC,Serena Williams,R,175,USA,,22,1128,4-6 6-4 6-4,3,QF
1998-W-WT-GBR-02A-1998,Eastbourne,Grass,28,W,1998-06-15T00:00:00.000,017,200033,,WC,Serena Williams,R,175,USA,,22,1128,200085,8,,Ai Sugiyama,R,163,JPN,,17,1615,6-2 7-5,3,R16
1998-W-SL-GBR-01A-1998,Wimbledon,Grass,128,G,1998-06-22T00:00:00.000,078,200033,,,Serena Williams,R,175,USA,,20,1216,200002,,,Mirjana Lucic,R,,CRO,,46,604,6-3 6-0,3,R64
1998-W-SL-GBR-01A-1998,Wimbledon,Grass,128,G,1998-06-22T00:00:00.000,103,200118,,,Virginia Ruano Pascual,R,169,ESP,,47,594,200033,,,Serena Williams,R,175,USA,,20,1216,7-5 4-1 RET,3,R32
1998-W-SL-GBR-01A-1998,Wimbledon,Grass,128,G,1998-06-22T00:00:00.000,027,200033,,,Serena Williams,R,175,USA,,20,1216,200584,,,Laura Golarsa,R,,ITA,,77,360,6-4 6-3,3,R128
1998-W-WT-USA-08A-1998,Manhattan Beach,Hard,28,W,1998-08-10T00:00:00.000,002,200033,,,Serena Williams,R,175,USA,,21,1273,200450,,Q,Larisa Savchenko,U,,URS,,90,301,6-0 6-0,3,R32
1998-W-WT-USA-08A-1998,Manhattan Beach,Hard,28,W,1998-08-10T00:00:00.000,014,200033,,,Serena Williams,R,175,USA,,21,1273,200016,7,,Sandrine Testud,R,,FRA,,14,1769,6-4 3-6 6-1,3,R16
1998-W-WT-USA-08A-1998,Manhattan Beach,Hard,28,W,1998-08-10T00:00:00.000,021,200001,1,,Martina Hingis,R,170,SUI,,1,5218,200033,,,Serena Williams,R,175,USA,,21,1273,6-4 6-1,3,QF
1998-W-SL-USA-01A-1998,US Open,Hard,128,G,1998-08-31T00:00:00.000,075,200033,,,Serena Williams,R,175,USA,,20,1362,200047,,Q,Pavlina Nola,R,,NZL,,124,213,6-2 6-1,3,R64
1998-W-SL-USA-01A-1998,US Open,Hard,128,G,1998-08-31T00:00:00.000,022,200033,,,Serena Williams,R,175,USA,,20,1362,200036,,,Nicole Pratt,R,,AUS,,94,301,6-3 3-6 6-4,3,R128
1998-W-SL-USA-01A-1998,US Open,Hard,128,G,1998-08-31T00:00:00.000,102,200051,9,,Irina Spirlea,R,,ROU,,8,2204,200033,,,Serena Williams,R,175,USA,,20,1362,6-3 0-6 7-5,3,R32
1998-W-WT-GER-04A-1998,Filderstadt,Hard,28,W,1998-10-05T00:00:00.000,015,200033,,,Serena Williams,R,175,USA,,19,1418,200539,3,,Jana Novotna,R,,CZE,,3,4819,2-6 6-3 2-0 RET,3,R16
1998-W-WT-GER-04A-1998,Filderstadt,Hard,28,W,1998-10-05T00:00:00.000,004,200033,,,Serena Williams,R,175,USA,,19,1418,200117,,Q,Kveta Peschke,R,165,CZE,,64,437,7-6 3-6 6-0,3,R32
1998-W-WT-GER-04A-1998,Filderstadt,Hard,28,W,1998-10-05T00:00:00.000,022,200016,,,Sandrine Testud,R,,FRA,,18,1454,200033,,,Serena Williams,R,175,USA,,19,1418,6-3 1-6 6-1,3,QF
1999-W-WT-AUS-03A-1999,Sydney,Hard,28,W,1999-01-11T00:00:00.000,016,200414,6,,Steffi Graf,R,,GER,,10,2261,200033,,,Serena Williams,R,175,USA,,22,1301,6-2 3-6 7-5,3,R16
1999-W-WT-AUS-03A-1999,Sydney,Hard,28,W,1999-01-11T00:00:00.000,005,200033,,,Serena Williams,R,175,USA,,22,1301,200667,,Q,Ines Gorrochategui,R,,ARG,,208,102,6-4 6-2,3,R32
1999-W-SL-AUS-01A-1999,Australian Open,Hard,128,G,1999-01-18T00:00:00.000,083,200033,,,Serena Williams,R,175,USA,,26,1099,200027,,,Magui Serna,L,,ESP,,22,1208,6-1 6-3,3,R64
1999-W-SL-AUS-01A-1999,Australian Open,Hard,128,G,1999-01-18T00:00:00.000,106,200016,14,,Sandrine Testud,R,,FRA,,15,1885,200033,,,Serena Williams,R,175,USA,,26,1099,6-2 2-6 9-7,3,R32
1999-W-SL-AUS-01A-1999,Australian Open,Hard,128,G,1999-01-18T00:00:00.000,038,200033,,,Serena Williams,R,175,USA,,26,1099,200752,,,Raluca Sandu,R,,ROU,,91,291,6-2 6-3,3,R128
1999-W-WT-FRA-01A-1999,Paris,Carpet,28,W,1999-02-22T00:00:00.000,012,200033,,,Serena Williams,R,175,USA,,24,1085,200084,,Q,Asa Svensson,R,,SWE,,94,293,6-1 6-2,3,R32
1999-W-WT-FRA-01A-1999,Paris,Carpet,28,W,1999-02-22T00:00:00.000,026,200033,,,Serena Williams,R,175,USA,,24,1085,200109,,,Nathalie Dechy,R,177,FRA,,43,629,6-1 6-4,3,SF
1999-W-WT-FRA-01A-1999,Paris,Carpet,28,W,1999-02-22T00:00:00.000,027,200033,,,Serena Williams,R,175,USA,,24,1085,200065,6,,Amelie Mauresmo,R,175,FRA,,18,1625,6-2 3-6 7-6,3,F
1999-W-WT-FRA-01A-1999,Paris,Carpet,28,W,1999-02-22T00:00:00.000,020,200033,,,Serena Williams,R,175,USA,,24,1085,200097,2,,Nathalie Tauziat,R,,FRA,,9,2127,6-1 6-4,3,R16
1999-W-WT-FRA-01A-1999,Paris,Carpet,28,W,1999-02-22T00:00:00.000,024,200033,,,Serena Williams,R,175,USA,,24,1085,200112,7,,Julie Halard Decugis,R,,FRA,,21,1393,6-2 6-3,3,QF
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,054,200033,,,Serena Williams,R,175,USA,,21,1348,200016,12,,Sandrine Testud,R,,FRA,,14,1865,7-5 6-0,3,SF
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,048,200033,,,Serena Williams,R,175,USA,,21,1348,200072,,,Cara Black,R,167,ZIM,,36,696,6-0 7-5,3,R16
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,052,200033,,,Serena Williams,R,175,USA,,21,1348,200096,6,,Mary Pierce,R,178,FRA,,8,2248,7-5 7-6,3,QF
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,040,200033,,,Serena Williams,R,175,USA,,21,1348,200128,2,,Lindsay Davenport,R,189,USA,,2,5547,6-4 6-2,3,R32
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,024,200033,,,Serena Williams,R,175,USA,,21,1348,201728,,Q,Jessica Steck,R,,RSA,,230,86,6-1 7-5,3,R64
1999-W-WT-USA-02A-1999,Indian Wells,Hard,56,W,1999-03-05T00:00:00.000,055,200033,,,Serena Williams,R,175,USA,,21,1348,200414,5,,Steffi Graf,R,,GER,,7,2810,6-3 3-6 7-5,3,F
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,090,200033,16,,Serena Williams,R,175,USA,,16,1816,200064,9,,Amanda Coetzer,R,158,RSA,,9,2120,6-4 6-0,3,QF
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,070,200033,16,,Serena Williams,R,175,USA,,16,1816,200027,25,,Magui Serna,L,,ESP,,25,1222,6-1 6-0,3,R32
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,095,200748,6,,Venus Williams,R,185,USA,,6,2987,200033,16,,Serena Williams,R,175,USA,,16,1816,6-1 4-6 6-4,3,F
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,083,200033,16,,Serena Williams,R,175,USA,,16,1816,200652,3,,Monica Seles,L,,USA,,3,3882,6-2 6-3,3,R16
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,093,200033,16,,Serena Williams,R,175,USA,,16,1816,200001,1,,Martina Hingis,R,170,SUI,,1,5449,6-4 7-6,3,SF
1999-W-WT-USA-03A-1999,Key Biscayne,Hard,96,W,1999-03-18T00:00:00.000,044,200033,16,,Serena Williams,R,175,USA,,16,1816,200008,,Q,Alicia Molik,R,182,AUS,,107,246,6-2 6-3,3,R64
1999-W-WT-ITA-01A-1999,Rome,Clay,56,W,1999-05-03T00:00:00.000,028,200033,6,,Serena Williams,R,175,USA,,10,2080,200063,,LL,Tatiana Panova,R,,RUS,,74,361,6-2 6-1,3,R32
1999-W-WT-ITA-01A-1999,Rome,Clay,56,W,1999-05-03T00:00:00.000,042,200033,6,,Serena Williams,R,175,USA,,10,2080,200051,13,,Irina Spirlea,R,,ROU,,17,1687,6-2 6-3,3,R16
1999-W-WT-ITA-01A-1999,Rome,Clay,56,W,1999-05-03T00:00:00.000,049,200001,1,,Martina Hingis,R,170,SUI,,1,5530,200033,6,,Serena Williams,R,175,USA,,10,2080,6-2 6-2,3,QF
1999-W-WT-GER-03A-1999,Berlin,Clay,56,W,1999-05-10T00:00:00.000,044,200033,7,,Serena Williams,R,175,USA,,11,2010,200020,,,Lisa Raymond,R,165,USA,,38,656,6-1 7-6,3,R16
1999-W-WT-GER-03A-1999,Berlin,Clay,56,W,1999-05-10T00:00:00.000,050,200017,4,,Arantxa Sanchez Vicario,R,,ESP,,7,2935,200033,7,,Serena Williams,R,175,USA,,11,2010,6-3 3-2 RET,3,QF
1999-W-WT-GER-03A-1999,Berlin,Clay,56,W,1999-05-10T00:00:00.000,032,200033,7,,Serena Williams,R,175,USA,,11,2010,200077,,WC,Jennifer Capriati,R,170,USA,,115,244,7-6 6-3,3,R32
1999-W-SL-FRA-01A-1999,French Open,Clay,128,G,1999-05-24T00:00:00.000,103,200597,,,Mary Joe Fernandez,R,,USA,,37,701,200033,10,,Serena Williams,R,175,USA,,10,2089,6-3 1-6 6-0,3,R32
1999-W-SL-FRA-01A-1999,French Open,Clay,128,G,1999-05-24T00:00:00.000,077,200033,10,,Serena Williams,R,175,USA,,10,2089,200055,,,Mariana Diaz Oliva,R,,ARG,,99,285,6-3 6-4,3,R64
1999-W-SL-FRA-01A-1999,French Open,Clay,128,G,1999-05-24T00:00:00.000,025,200033,10,,Serena Williams,R,175,USA,,10,2089,200076,,,Laurence Courtois,R,,BEL,,94,299,6-4 6-0,3,R128
1999-D010,Fed Cup WG1 SF: ITA vs USA,Clay,4,D,1999-07-24T00:00:00.000,4,200033,,,Serena Williams,R,175,USA,,11,1819,200010,,,Rita Grande,R,,ITA,,63,468,6-1 6-1,3,RR
1999-W-WT-USA-08A-1999,Manhattan Beach,Hard,28,W,1999-08-09T00:00:00.000,026,200033,6,,Serena Williams,R,175,USA,,11,1819,200001,2,,Martina Hingis,R,170,SUI,,1,5509,6-3 7-5,3,SF
1999-W-WT-USA-08A-1999,Manhattan Beach,Hard,28,W,1999-08-09T00:00:00.000,023,200033,6,,Serena Williams,R,175,USA,,11,1819,200017,4,,Arantxa Sanchez Vicario,R,,ESP,,8,2176,6-2 6-3,3,QF
1999-W-WT-USA-08A-1999,Manhattan Beach,Hard,28,W,1999-08-09T00:00:00.000,027,200033,6,,Serena Williams,R,175,USA,,11,1819,200112,,,Julie Halard Decugis,R,,FRA,,16,1669,6-1 6-4,3,F
1999-W-WT-USA-08A-1999,Manhattan Beach,Hard,28,W,1999-08-09T00:00:00.000,007,200033,6,,Serena Williams,R,175,USA,,11,1819,200048,,,Elena Likhovtseva,R,,RUS,,21,1333,4-6 6-3 6-1,3,R32
1999-W-WT-USA-08A-1999,Manhattan Beach,Hard,28,W,1999-08-09T00:00:00.000,017,200033,6,,Serena Williams,R,175,USA,,11,1819,200067,,,Patty Schnyder,L,168,SUI,,19,1419,6-3 6-1,3,R16
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,123,200033,7,,Serena Williams,R,175,USA,,6,2154,200652,4,,Monica Seles,L,,USA,,4,2978,4-6 6-3 6-2,3,QF
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,105,200033,7,,Serena Williams,R,175,USA,,6,2154,200079,,,Kim Clijsters,R,,BEL,,98,292,4-6 6-2 7-5,3,R32
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,126,200033,7,,Serena Williams,R,175,USA,,6,2154,200128,2,,Lindsay Davenport,R,189,USA,,2,5201,6-4 1-6 6-4,3,SF
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,117,200033,7,,Serena Williams,R,175,USA,,6,2154,200049,16,,Conchita Martinez,R,170,ESP,,17,1547,4-6 6-2 6-2,3,R16
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,127,200033,7,,Serena Williams,R,175,USA,,6,2154,200001,1,,Martina Hingis,R,170,SUI,,1,5654,6-3 7-6,3,F
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,081,200033,7,,Serena Williams,R,175,USA,,6,2154,200056,,Q,Jelena Kostanic Tosic,L,168,CRO,,128,216,6-4 6-2,3,R64
1999-W-SL-USA-01A-1999,US Open,Hard,128,G,1999-08-30T00:00:00.000,033,200033,7,,Serena Williams,R,175,USA,,6,2154,200660,,,Kimberly Po Messerli,R,,USA,,80,355,6-1 6-0,3,R128
1999-W-WT-GER-04A-1999,Filderstadt,Hard,28,W,1999-10-04T00:00:00.000,015,200016,,,Sandrine Testud,R,,FRA,,13,1721,200033,3,,Serena Williams,R,175,USA,,4,3144,3-6 6-4 7-5,3,R16
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,2000-01-17T00:00:00.000,115,200048,16,,Elena Likhovtseva,R,,RUS,,18,1397,200033,3,,Serena Williams,R,175,USA,,4,2993,6-3 6-3,3,R16
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,2000-01-17T00:00:00.000,101,200033,3,,Serena Williams,R,175,USA,,4,2993,200037,,,Sabine Appelmans,L,,BEL,,31,886,6-2 7-6(2),3,R32
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,2000-01-17T00:00:00.000,017,200033,3,,Serena Williams,R,175,USA,,4,2993,200034,,WC,Amanda Grahame,L,,AUS,,261,73,6-4 4-6 6-4,3,R128
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,2000-01-17T00:00:00.000,073,200033,3,,Serena Williams,R,175,USA,,4,2993,200036,,,Nicole Pratt,R,,AUS,,58,534,7-5 6-1,3,R64
2000-W-T2-FRA-01A-2000,Paris,Carpet,28,T2,2000-02-07T00:00:00.000,013,200033,1,,Serena Williams,R,175,USA,,4,3015,200067,,,Patty Schnyder,L,168,SUI,,25,1068,6-2 6-2,3,R16
2000-W-T2-FRA-01A-2000,Paris,Carpet,28,T2,2000-02-07T00:00:00.000,025,200033,1,,Serena Williams,R,175,USA,,4,3015,200112,3,,Julie Halard Decugis,R,,FRA,,8,1932,6-4 6-2,3,SF
2000-W-T2-FRA-01A-2000,Paris,Carpet,28,T2,2000-02-07T00:00:00.000,021,200033,1,,Serena Williams,R,175,USA,,4,3015,200127,,,Sarah Pitkowski Malcor,R,,FRA,,39,722,6-1 6-1,3,QF
2000-W-T2-FRA-01A-2000,Paris,Carpet,28,T2,2000-02-07T00:00:00.000,027,200097,2,,Nathalie Tauziat,R,,FRA,,6,2276,200033,1,,Serena Williams,R,175,USA,,4,3015,7-5 6-2,3,F
2000-W-T2-GER-01A-2000,Hanover,Hard,28,T2,2000-02-14T00:00:00.000,025,200033,1,,Serena Williams,R,175,USA,,4,3231,200065,3,,Amelie Mauresmo,R,175,FRA,,14,1660,6-2 6-7(4) 7-6(3),3,SF
2000-W-T2-GER-01A-2000,Hanover,Hard,28,T2,2000-02-14T00:00:00.000,013,200033,1,,Serena Williams,R,175,USA,,4,3231,200037,,,Sabine Appelmans,L,,BEL,,29,928,6-1 6-3,3,R16
2000-W-T2-GER-01A-2000,Hanover,Hard,28,T2,2000-02-14T00:00:00.000,021,200033,1,,Serena Williams,R,175,USA,,4,3231,200067,8,,Patty Schnyder,L,168,SUI,,25,1108,6-1 6-4,3,QF
2000-W-T2-GER-01A-2000,Hanover,Hard,28,T2,2000-02-14T00:00:00.000,027,200033,1,,Serena Williams,R,175,USA,,4,3231,200044,,,Denisa Chladkova,R,,CZE,,56,565,6-1 6-1,3,F
2000-W-T1-USA-01A-2000,Indian Wells,Hard,80,T1,2000-03-10T00:00:00.000,074,200096,5,,Mary Pierce,R,178,FRA,,6,2488,200033,3,,Serena Williams,R,175,USA,,4,2741,6-2 6-1,3,QF
2000-W-T1-USA-01A-2000,Indian Wells,Hard,80,T1,2000-03-10T00:00:00.000,067,200033,3,,Serena Williams,R,175,USA,,4,2741,200079,,,Kim Clijsters,R,,BEL,,33,852,6-4 6-4,3,R16
2000-W-T1-USA-01A-2000,Indian Wells,Hard,80,T1,2000-03-10T00:00:00.000,025,200033,3,,Serena Williams,R,175,USA,,4,2741,200083,,,Alexandra Stevenson,R,,USA,,41,720,7-5 3-6 6-2,3,R64
2000-W-T1-USA-01A-2000,Indian Wells,Hard,80,T1,2000-03-10T00:00:00.000,053,200033,3,,Serena Williams,R,175,USA,,4,2741,200010,,,Rita Grande,R,,ITA,,70,466,6-4 6-4,3,R32
2000-W-T1-USA-02A-2000,Miami,Hard,96,T1,2000-03-20T00:00:00.000,085,200077,13,,Jennifer Capriati,R,170,USA,,14,1576,200033,5,,Serena Williams,R,175,USA,,6,2421,7-6(2) 1-6 6-3,3,R16
